id,env,block,vine.maturity,skin.maturity
W15268-186R,2018,1,2,0.82
AFW6054-8R,2017,1,1,0.81
W15268-187R,2018,3,6,0.81
W14141-20R,2017,3,3,0.81
W15268-73R,2018,3,4,0.81
W15268-85R,2018,2,6,0.8
W15267-93R,2018,1,5,0.79
W15267-187R,2018,1,9,0.79
W10209-2R,2017,2,1,0.79
W15267-131R,2018,1,8,0.78
W15268-164R,2018,3,5,0.78
W14138-53R,2018,2,4,0.77
W15268-32R,2018,4,5,0.77
W15267-213R,2018,2,3,0.77
W15267-17R,2018,3,2,0.76
W15263-7R,2018,4,7,0.75
W14141-19R,2018,1,4,0.75
W15263-8R,2018,3,4,0.75
W15268-237R,2018,1,2,0.75
W15267-149R,2018,3,6,0.74
W15268-161R,2018,4,5,0.74
W15268-195R,2018,2,9,0.74
W15267-154R,2018,3,3,0.74
W15264-5R,2018,1,5,0.73
W15263-75R,2018,3,4,0.73
W15277B-52R,2018,1,5,0.73
W15263-60R,2018,3,4,0.73
W15263-42R,2018,2,5,0.72
W15263-25R,2018,2,2,0.72
W15277B-44R,2018,3,3,0.72
W15268-171R,2018,1,7,0.72
W15277B-11R,2018,2,1,0.71
W15268-551R,2018,1,5,0.71
W15263-16R,2018,1,5,0.71
W15267-98R,2018,2,3,0.7
W15268-212R,2018,1,8,0.7
W15267-182R,2018,3,3,0.7
W15264-6R,2018,2,4,0.7
RedNorland,2017,3,2,0.69
W15261-551R,2018,4,9,0.69
W15263-55R,2018,3,6,0.68
W15277-34R,2018,1,1,0.68
W15267-114R,2018,4,4,0.68
AFW6045-8R,2017,2,2,0.68
W15277B-38R,2018,3,4,0.68
W15267-6R,2018,1,2,0.67
W15261-25R,2018,1,7,0.67
W15268-76R,2018,3,4,0.67
W15267-85R,2018,3,3,0.67
W15267-177R,2018,4,3,0.67
W15263-87R,2018,3,4,0.66
W15277B-59R,2018,4,4,0.66
W15268-184R,2018,1,6,0.65
W15267-102R,2018,1,6,0.65
W15261-18R,2018,3,5,0.65
W15268-9R,2018,1,9,0.64
W15263-46R,2018,3,9,0.64
W15261-1R,2018,3,8,0.63
W15268-190R,2018,4,5,0.63
W15268-20R,2018,4,6,0.63
W15261-27R,2018,4,8,0.63
W15267-224R,2018,3,6,0.63
W15267-223R,2018,2,1,0.62
W14141-5R,2018,2,3,0.62
W15268-78R,2018,1,8,0.62
W15263-76R,2018,4,3,0.61
W15267-193R,2018,4,8,0.61
W15264-17R,2018,2,9,0.61
DarkRedNorland,2018,3,4,0.61
W15268-134R,2018,3,1,0.61
W15268-192R,2018,2,9,0.61
W15268-189R,2018,2,4,0.6
RedNorland,2017,2,1,0.6
W15261-21R,2018,4,5,0.59
W15267-111R,2018,1,4,0.59
W14133-11R,2018,2,6,0.58
W15263-42R,2018,2,5,0.58
W15263-57R,2018,2,5,0.57
W15268-201R,2018,2,4,0.57
W15261-3R,2018,1,3,0.57
W15268-90R,2018,1,4,0.57
W15268-151R,2018,3,8,0.57
W15268-48R,2018,1,4,0.57
W15267-150R,2018,1,5,0.56
W15267-88R,2018,3,5,0.56
W15268-67R,2018,4,4,0.56
W15268-61R,2018,1,4,0.56
W15277B-9R,2018,4,6,0.56
W15268-99R,2018,3,4,0.56
W15277B-31R,2018,1,1,0.56
RedNorland,2017,1,1,0.56
W15267-61R,2018,3,7,0.56
W15277B-49R,2018,1,2,0.55
W15268-106R,2018,3,6,0.54
W15264-10R,2018,1,6,0.54
W15268-123R,2018,4,4,0.52
W15267-73R,2018,4,7,0.52
W15268-210R,2018,1,4,0.52
W15267-41R,2018,2,3,0.51
W15267-57R,2018,4,4,0.51
W15267-82R,2018,3,5,0.51
W15267-161R,2018,1,5,0.51
W15277-12R,2018,1,5,0.51
W15263-56R,2018,2,8,0.5
DarkRedNorland,2018,1,2,0.49
W14141-16R,2018,3,6,0.49
W15268-87R,2018,4,5,0.49
W15268-30R,2018,4,5,0.49
W14141-19R,2017,3,1,0.49
W15267-67R,2018,4,3,0.49
W15267-65R,2018,2,6,0.49
W15277B-19R,2018,4,2,0.49
W15267-173R,2018,2,4,0.48
W15267-159R,2018,3,5,0.48
W15268-147R,2018,2,4,0.48
W15268-28R,2018,2,5,0.47
W15268-13R,2018,2,8,0.47
W15267-138R,2018,3,4,0.47
W15267-220R,2018,3,4,0.47
W15267-32R,2018,1,8,0.46
W15268-115R,2018,2,2,0.46
W14133-12R,2017,2,6,0.46
W15277B-42R,2018,1,7,0.46
W15268-162R,2018,4,6,0.45
W15261-7R,2018,1,6,0.45
W15268-182R,2018,1,5,0.44
W10209-2R,2018,2,3,0.43
W15268-102R,2018,1,9,0.43
W15277B-5R,2018,1,6,0.43
W14133-49R,2018,3,3,0.43
W15277B-48R,2018,2,4,0.43
W15267-189R,2018,2,4,0.41
W14133-20R,2018,3,3,0.41
W15268-146R,2018,2,7,0.41
W15261-18R,2018,3,4,0.41
W15277B-57R,2018,3,4,0.4
W15268-218R,2018,3,6,0.4
W15268-129R,2018,4,6,0.4
W14141-17R,2017,2,1,0.4
W15261-12R,2018,1,7,0.4
W15267-129R,2018,2,1,0.39
W15277B-58R,2018,1,5,0.39
W15267-200R,2018,1,4,0.39
W15263-71R,2018,1,1,0.38
W15268-136R,2018,4,2,0.38
W15268-96R,2018,2,3,0.38
DarkRedNorland,2018,4,4,0.37
W15263-7R,2018,4,6,0.37
W15268-74R,2018,2,2,0.37
W15268-183R,2018,1,4,0.37
W15267-133R,2018,3,4,0.37
